student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Category
S1001,24,MBA,4,6.2,65,88,9,9,3,2,4,1,1,93,63.5,43.333333333333336,54.0,10.0,42.708333333333336,Red (At Risk)
S1002,21,MBA,4,5.2,91,47,9,6,3,2,5,6,2,67,71.5,33.333333333333336,33.5,40.0,44.583333333333336,Red (At Risk)
S1003,22,MBA,5,8.4,63,75,9,4,3,2,7,5,1,79,73.5,26.666666666666668,47.5,30.0,44.41666666666667,Red (At Risk)
S1004,24,B.Tech,1,5.5,70,77,9,5,3,2,9,6,5,59,62.5,30.0,48.5,55.0,49.0,Red (At Risk)
S1005,20,MBA,5,7.1,76,79,9,9,3,2,7,10,10,80,73.5,43.333333333333336,49.5,100.0,66.58333333333334,Yellow (Needs Attention)
S1006,22,B.Tech,7,6.0,97,59,9,8,3,2,5,5,9,92,78.5,40.0,39.5,70.0,57.0,Yellow (Needs Attention)
S1007,22,MBA,5,9.3,83,74,6,9,3,3,10,6,6,81,88.0,53.333333333333336,52.0,60.0,63.333333333333336,Yellow (Needs Attention)
S1008,24,B.A,1,7.3,64,87,3,5,5,9,10,5,1,67,68.5,56.666666666666664,88.5,30.0,60.916666666666664,Yellow (Needs Attention)
S1009,19,B.A,1,7.7,93,64,9,5,6,7,7,5,1,59,85.0,40.0,67.0,30.0,55.5,Yellow (Needs Attention)
S1010,20,M.Sc,7,8.3,65,74,5,9,9,4,10,4,2,80,74.0,76.66666666666667,57.0,30.0,59.41666666666667,Yellow (Needs Attention)
S1011,24,B.A,1,5.5,95,64,8,4,5,10,5,3,9,92,75.0,36.666666666666664,82.0,60.0,63.416666666666664,Yellow (Needs Attention)
S1012,20,M.Sc,8,5.5,95,68,1,7,1,5,3,3,3,92,75.0,56.666666666666664,59.0,30.0,55.166666666666664,Yellow (Needs Attention)
S1013,20,B.A,1,5.5,95,57,5,5,4,2,7,4,1,92,75.0,46.666666666666664,38.5,25.0,46.291666666666664,Red (At Risk)
S1014,22,B.Tech,4,5.5,95,85,3,9,5,8,2,9,5,92,75.0,70.0,82.5,70.0,74.375,Green (Stable)
S1015,21,B.A,8,5.5,95,57,1,9,10,4,9,2,7,92,75.0,93.33333333333333,48.5,45.0,65.45833333333333,Yellow (Needs Attention)
S1016,20,M.Sc,8,5.5,95,41,4,6,10,9,10,9,6,92,75.0,73.33333333333333,65.5,75.0,72.20833333333333,Green (Stable)
S1017,23,M.Sc,7,8.3,75,93,5,7,5,5,10,1,1,46,79.0,56.666666666666664,71.5,10.0,54.291666666666664,Yellow (Needs Attention)
S1018,22,MBA,3,9.2,88,74,7,8,7,9,1,1,5,98,90.0,60.0,82.0,30.0,65.5,Yellow (Needs Attention)
S1019,19,B.Tech,3,8.0,62,55,1,4,4,4,6,5,5,63,71.0,56.666666666666664,47.5,50.0,56.291666666666664,Yellow (Needs Attention)
S1020,21,B.A,1,6.4,79,80,3,8,1,10,7,6,6,35,71.5,53.333333333333336,90.0,60.0,68.70833333333334,Yellow (Needs Attention)
