student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score
S1001,24,MBA,4,6.2,65,88,9,9,3,2,4,1,1,93
S1002,21,MBA,4,5.2,91,47,9,6,3,2,5,6,2,67
S1003,22,MBA,5,8.4,63,75,9,4,3,2,7,5,1,79
S1004,24,B.Tech,1,5.5,70,77,9,5,3,2,9,6,5,59
S1005,20,MBA,5,7.1,76,79,9,9,3,2,7,10,10,80
S1006,22,B.Tech,7,6.0,97,59,9,8,3,2,5,5,9,92
S1007,22,MBA,5,9.3,83,74,6,9,3,3,10,6,6,81
S1008,24,B.A,1,7.3,64,87,3,5,5,9,10,5,1,67
S1009,19,B.A,1,7.7,93,64,9,5,6,7,7,5,1,59
S1010,20,M.Sc,7,8.3,65,74,5,9,9,4,10,4,2,80
S1011,24,B.A,1,5.5,95,64,8,4,5,10,5,3,9,92
S1012,20,M.Sc,8,5.5,95,68,1,7,1,5,3,3,3,92
S1013,20,B.A,1,5.5,95,57,5,5,4,2,7,4,1,92
S1014,22,B.Tech,4,5.5,95,85,3,9,5,8,2,9,5,92
S1015,21,B.A,8,5.5,95,57,1,9,10,4,9,2,7,92
S1016,20,M.Sc,8,5.5,95,41,4,6,10,9,10,9,6,92
S1017,23,M.Sc,7,8.3,75,93,5,7,5,5,10,1,1,46
S1018,22,MBA,3,9.2,88,74,7,8,7,9,1,1,5,98
S1019,19,B.Tech,3,8.0,62,55,1,4,4,4,6,5,5,63
S1020,21,B.A,1,6.4,79,80,3,8,1,10,7,6,6,35
S1021,23,MBA,8,9.4,95,75,2,7,5,5,8,2,3,82
S1022,23,B.A,3,9.4,78,72,9,7,7,9,10,2,3,95
S1023,19,B.A,3,9.4,85,43,10,7,10,8,9,2,3,72
S1024,21,MBA,1,9.4,62,72,6,8,10,3,2,2,3,52
S1025,22,MBA,3,9.4,78,53,10,7,6,1,10,2,3,84
S1026,18,MBA,5,9.4,79,60,3,9,5,3,2,2,3,45
S1027,21,MBA,2,5.6,91,87,8,8,4,4,5,6,10,37
S1028,19,MBA,7,6.7,66,59,8,7,2,2,5,8,10,33
S1029,23,B.A,2,9.4,92,95,2,9,4,1,6,5,3,33
S1030,22,MBA,1,6.3,99,47,6,6,10,7,3,8,1,85
S1031,21,B.Tech,4,8.1,98,46,7,7,10,8,8,10,5,54
S1032,18,M.Sc,7,5.0,77,42,2,8,3,7,1,4,9,96
S1033,18,MBA,1,6.7,99,56,10,5,10,5,6,10,1,96
S1034,20,MBA,8,6.5,60,72,2,7,1,1,4,8,3,56
S1035,20,B.A,4,5.8,70,87,10,5,8,7,1,10,4,61
S1036,24,MBA,2,7.6,87,51,1,9,5,7,7,2,1,79
S1037,19,MBA,1,7.3,84,98,8,6,4,9,9,5,1,90
S1038,21,MBA,8,8.3,82,90,1,4,8,3,4,9,8,80
S1039,21,B.A,7,6.3,90,61,9,6,7,9,4,4,2,48
S1040,24,MBA,7,6.2,89,94,6,7,2,1,6,6,8,50
S1041,23,M.Sc,6,5.8,94,61,7,5,1,1,3,1,7,34
S1042,23,B.A,8,6.1,66,85,10,5,4,4,6,9,10,71
S1043,24,M.Sc,5,7.7,75,69,7,8,8,9,7,1,10,90
S1044,23,B.A,3,6.9,85,77,10,5,2,6,10,5,2,51
S1045,20,MBA,4,5.3,61,77,3,8,3,3,10,4,6,50
S1046,21,M.Sc,8,6.2,60,84,2,9,1,1,3,3,6,99
S1047,24,B.A,6,6.2,71,90,9,4,1,4,7,6,3,30
S1048,21,B.Tech,3,8.3,64,93,8,7,3,9,3,2,2,34
S1049,18,MBA,3,8.4,96,47,10,8,5,3,2,3,1,41
S1050,20,B.A,1,5.7,91,66,7,4,3,9,10,5,6,75
S1051,22,B.Tech,3,9.8,68,66,9,5,1,7,4,9,5,63
S1052,20,B.A,5,6.3,94,73,4,5,1,4,8,2,9,78
S1053,24,B.Tech,7,9.7,78,60,4,4,8,3,9,10,1,74
S1054,22,MBA,6,7.0,75,69,1,5,10,10,7,8,7,56
S1055,18,M.Sc,3,5.2,62,72,8,9,2,5,1,2,5,55
S1056,24,B.Tech,1,6.7,79,67,3,9,3,5,3,5,5,76
S1057,19,B.A,5,8.0,83,86,7,4,2,3,9,7,2,85
S1058,21,MBA,2,8.3,92,72,2,8,3,9,1,8,3,92
S1059,18,B.Tech,7,7.5,83,44,2,8,7,4,9,1,7,77
S1060,21,B.A,7,7.1,70,99,7,4,1,5,8,6,6,90
